folder_1,folder_2,folder_3,file_name,purpose,usage_location,used_in_base_process,cloud_run_deployment,temporary_file,notes,質問メモ,回答
config,columns,,ms_department_category.csv,部門カテゴリマスタカラム定義,raw→proceed変換,Yes,Yes (gcs-to-bq),No,gcs_to_bq_serviceで参照・現行版,変更しない,変更なし（現行版・Cloud Runから参照）
config,mapping,,mapping_files.csv,テーブル名マッピング定義,Drive→GCS・BigQueryロード,Yes,Yes (drive-to-gcs・gcs-to-bq),No,日本語→英語テーブル名変換,変更しない,変更なし（現行版・Cloud Runから参照）
config,mapping,,monetary_scale_conversion.csv,金額単位変換設定,raw→proceed変換,Yes,Yes (gcs-to-bq),No,千円単位変換設定,変更しない,変更なし（現行版・Cloud Runから参照）
mapping,,,mapping_files.csv,テーブル名マッピング定義（旧）,未使用,No,No,Yes,config/mappingに移行済み・削除候補,gcsにデータがあるので､delete_modules/配下に置いて後々削除しても問題ないか,問題なし。物理削除推奨（config/mappingに移行済み・重複）
mapping,,,monetary_scale_conversion.csv,金額単位変換設定（旧）,未使用,No,No,Yes,config/mappingに移行済み・削除候補,gcsにデータがあるので､delete_modules/配下に置いて後々削除しても問題ないか,問題なし。物理削除推奨（config/mappingに移行済み・重複）
mapping,columns,,stocks.csv,在庫カラム定義（旧）,未使用,No,No,Yes,config/columnsに移行済み・削除候補,gcsにデータがあるので､delete_modules/配下に置いて後々削除しても問題ないか,問題なし。物理削除推奨（config/columnsに移行済み・重複）
mapping,columns,,ms_allocation_ratio.csv,案分比率マスタカラム定義（旧）,未使用,No,No,Yes,config/columnsに移行済み・削除候補,gcsにデータがあるので､delete_modules/配下に置いて後々削除しても問題ないか,問題なし。物理削除推奨（config/columnsに移行済み・重複）
mapping,columns,,ms_department_category.csv,部門カテゴリマスタカラム定義（旧）,未使用,No,No,Yes,config/columnsに移行済み・削除候補,gcsにデータがあるので､delete_modules/配下に置いて後々削除しても問題ないか,問題なし。物理削除推奨（config/columnsに移行済み・重複）
sql,,,README.md,SQLファイル説明書,ドキュメント,No,No,No,DWH/DataMart SQL説明,変更しない,変更なし（SQLディレクトリの説明として必須）
sql,,,dashboard_management_report.sql,経営資料ダッシュボードSQL,Looker Studio,No,No,Yes,旧版・削除候補,delete_modules/配下に置いて後々削除しても問題ないか,問題なし。archived/ 配下に移動推奨（旧版・現在未使用）
sql,,,dashboard_management_report_vertical.sql,経営資料ダッシュボードSQL（縦持ち）,Looker Studio,Yes,No,No,Looker Studio用・現行版,変更しない,変更なし（現行版・Looker Studioから参照）
sql,,,dashboard_management_report_vertical_old.sql,経営資料ダッシュボードSQL（旧版）,Looker Studio,No,No,Yes,バックアップ・削除候補,delete_modules/配下に置いて後々削除しても問題ないか,問題なし。archived/ 配下に移動推奨（バックアップ・現在未使用）
sql,,,dashboard_management_report_vertical_test.sql,経営資料ダッシュボードSQL（テスト版）,開発・テスト,No,No,Yes,テスト用・削除候補,delete_modules/配下に置いて後々削除しても問題ないか,問題なし。archived/ 配下に移動推奨（テスト用・現在未使用）
sql,,,update_ms_department_category_group_name.sql,部門カテゴリマスタ更新SQL,マスタ更新,Yes,No,No,初回のみ実行・group_name設定,delete_modules/配下に置いて後々削除しても問題ないか,sql/setup/ 配下に移動推奨（初回のみ実行・再実行の可能性あり）
sql,,,investigation_log.md,調査ログ,ドキュメント,No,No,Yes,開発メモ・削除候補,text/配下に置いても問題ないか,問題なし。archived/ 配下に移動推奨（開発メモは整理後不要）
sql,scripts,,update_dwh.sh,DWH更新シェルスクリプト,DWH作成,Yes,No,No,11個のDWHテーブルを一括更新,変更しない,変更なし（現行運用で使用中）
sql,scripts,,update_datamart.sh,DataMart更新シェルスクリプト,DataMart作成,Yes,No,No,1個のDataMartテーブルを更新,変更しない,変更なし（現行運用で使用中）
sql,scripts,,update_all.sh,全テーブル更新シェルスクリプト,DWH+DataMart作成,Yes,No,No,update_dwh.sh + update_datamart.shを連続実行,変更しない,変更なし（現行運用で使用中）
sql,split_dwh_dm,,dwh_sales_actual.sql,売上実績DWH作成SQL,DWH作成,Yes,No,No,update_dwh.shから実行,変更しない,変更なし（現行運用で使用中）
sql,split_dwh_dm,,dwh_sales_actual_prev_year.sql,売上実績（前年）DWH作成SQL,DWH作成,Yes,No,No,update_dwh.shから実行,変更しない,変更なし（現行運用で使用中）
sql,split_dwh_dm,,dwh_sales_target.sql,売上目標DWH作成SQL,DWH作成,Yes,No,No,update_dwh.shから実行,変更しない,変更なし（現行運用で使用中）
sql,split_dwh_dm,,dwh_operating_expenses.sql,営業経費DWH作成SQL,DWH作成,Yes,No,No,update_dwh.shから実行,変更しない,変更なし（現行運用で使用中）
sql,split_dwh_dm,,dwh_non_operating_income.sql,営業外収入DWH作成SQL,DWH作成,Yes,No,No,update_dwh.shから実行,変更しない,変更なし（現行運用で使用中）
sql,split_dwh_dm,,dwh_non_operating_expenses.sql,営業外費用DWH作成SQL,DWH作成,Yes,No,No,update_dwh.shから実行,変更しない,変更なし（現行運用で使用中）
sql,split_dwh_dm,,dwh_miscellaneous_loss.sql,雑損失DWH作成SQL,DWH作成,Yes,No,No,update_dwh.shから実行,変更しない,変更なし（現行運用で使用中）
sql,split_dwh_dm,,dwh_head_office_expenses.sql,本店管理費DWH作成SQL,DWH作成,Yes,No,No,update_dwh.shから実行,変更しない,変更なし（現行運用で使用中）
sql,split_dwh_dm,,dwh_recurring_profit_target.sql,経常利益目標DWH作成SQL,DWH作成,Yes,No,No,update_dwh.shから実行,変更しない,変更なし（現行運用で使用中）
sql,split_dwh_dm,,dwh_operating_expenses_target.sql,営業経費目標DWH作成SQL,DWH作成,Yes,No,No,update_dwh.shから実行,変更しない,変更なし（現行運用で使用中）
sql,split_dwh_dm,,dwh_operating_income_target.sql,営業利益目標DWH作成SQL,DWH作成,Yes,No,No,update_dwh.shから実行,変更しない,変更なし（現行運用で使用中）
sql,split_dwh_dm,,datamart_management_report_vertical.sql,経営資料DataMart作成SQL,DataMart作成,Yes,No,No,update_datamart.shから実行・縦持ち形式,変更しない,変更なし（現行運用で使用中）
sql,split_dwh_dm,,datamart_management_report_vertical.sql.bak,経営資料DataMart作成SQL（バックアップ）,バックアップ,No,No,Yes,削除候補,変更しない,物理削除推奨（.bakファイルは不要・Gitで管理済み）
sql,tmp_file,,script_job_2cc3b46f2d9c728ba2eeea8f775f5e24_0_202510281.csv,一時ファイル,一時ファイル,No,No,Yes,削除候補,物理削除しても問題ないか,問題なし。物理削除推奨（BigQueryジョブ出力・不要）
sql,tmp_file,,script_job_ea06a2cb30f7f7df444e9650bf54fcb5_0_20251028.csv,一時ファイル,一時ファイル,No,No,Yes,削除候補,物理削除しても問題ないか,問題なし。物理削除推奨（BigQueryジョブ出力・不要）
sql,tmp_file,,データソース一覧・加工内容 - #1_1経営資料（当月）_latest.csv,データソース一覧,ドキュメント,No,No,No,参考資料,変更しない,変更なし（参考資料として保持）
